XA,YA,ZA
-0.56,-0.03,9.85
-0.56,0.06,9.90
-0.56,-0.12,9.81
-0.56,-0.02,10.05
-0.56,0.10,9.85
0.56,0.03,9.85
0.56,-0.06,9.90
0.56,0.12,9.81
0.56,0.02,10.05
0.56,-0.10,9.85
-0.56,-0.03,9.85
-0.56,0.06,9.90
-0.56,-0.12,9.81
-0.56,-0.02,10.05
-0.56,0.10,9.85
0.56,0.03,9.85
0.56,-0.06,9.90
0.56,0.12,9.81
0.56,0.02,10.05
0.56,-0.10,9.85
-0.56,-0.03,9.85
-0.56,0.06,9.90
-0.56,-0.12,9.81
-0.56,-0.02,10.05
-0.56,0.10,9.85
0.56,0.03,9.85
0.56,-0.06,9.90
0.56,0.12,9.81
0.56,0.02,10.05
0.56,-0.10,9.85
-0.56,0.06,9.90
-0.56,-0.12,9.81
-0.56,-0.02,10.05
-0.56,0.10,9.85
-0.56,-0.03,9.85
0.56,0.06,9.90








